name,created_at,pushed_at,description,html_url,homepage
populartimes,2021-05-28T03:26:45Z,2022-07-26T06:40:30Z,Python + selenium scraper to extract google maps places and popular times. Leaflet/plotly JS to display it. For I-Ting Chuang,"=HYPERLINK(""https://github.com/UoA-eResearch/populartimes"")","=HYPERLINK(""https://uoa-eresearch.github.io/populartimes/"")"
twitter_analysis,2019-08-22T04:12:34Z,2022-07-13T00:41:05Z,Analysis of twitter data,"=HYPERLINK(""https://github.com/UoA-eResearch/twitter_analysis"")","=HYPERLINK(""https://uoa-eresearch.github.io/twitter_analysis/global-climate-plot.html"")"
2022-07-04-swc-online,2022-05-10T21:50:43Z,2022-06-19T21:39:40Z,"Software Carpentry Online, hosted by the University of Auckland (July 2022)","=HYPERLINK(""https://github.com/UoA-eResearch/2022-07-04-swc-online"")","=HYPERLINK(""https://uoa-eresearch.github.io/2022-07-04-swc-online/"")"
dynamic_network_graph,2020-11-11T03:34:12Z,2022-06-18T06:37:07Z,A web-based tool using vis.js to generate a network graph dynamically,"=HYPERLINK(""https://github.com/UoA-eResearch/dynamic_network_graph"")","=HYPERLINK(""https://uoa-eresearch.github.io/dynamic_network_graph/"")"
dashboard-ui,2020-04-28T23:32:09Z,2022-06-03T03:24:42Z,Angular front end for Research Hub Dashboard,"=HYPERLINK(""https://github.com/UoA-eResearch/dashboard-ui"")","=HYPERLINK(""https://eresearch-dashboard.connect.test.amazon.auckland.ac.nz/"")"
nzseis,2022-03-29T01:23:59Z,2022-05-24T02:02:53Z,A Leaflet version of https://nzseis-stations.auckland.ac.nz/,"=HYPERLINK(""https://github.com/UoA-eResearch/nzseis"")","=HYPERLINK(""https://uoa-eresearch.github.io/nzseis/"")"
auckland-housing,2021-06-29T05:07:45Z,2022-05-23T01:44:20Z,Geocoding building consents and residential transaction data into static maps. For Dr Ryan Greenaway-McGrevy (Economics » Faculty of Business and Economics),"=HYPERLINK(""https://github.com/UoA-eResearch/auckland-housing"")","=HYPERLINK(""https://uoa-eresearch.github.io/auckland-housing/phase2"")"
resbaz,2019-04-01T01:15:34Z,2022-05-18T04:05:43Z,Template created for Research Bazaar (ResBaz) Events,"=HYPERLINK(""https://github.com/UoA-eResearch/resbaz"")","=HYPERLINK(""https://resbaz.auckland.ac.nz/"")"
2022-04-26-data-carpentry-online,2022-03-31T01:19:19Z,2022-04-12T04:40:47Z,"University of Auckland Data Carpentry, April 2022","=HYPERLINK(""https://github.com/UoA-eResearch/2022-04-26-data-carpentry-online"")","=HYPERLINK(""https://uoa-eresearch.github.io/2022-04-26-data-carpentry-online/"")"
cert-manager,2018-07-11T02:01:55Z,2022-04-10T22:53:49Z,A simple flask web app to act as an orchestration/administrative interface across the blockcert projects / workflow,"=HYPERLINK(""https://github.com/UoA-eResearch/cert-manager"")","=HYPERLINK(""https://uoa-eresearch.github.io/cert-manager/templates/index.html"")"
waves,2019-01-16T22:01:35Z,2022-04-10T22:32:08Z, Tools to view / subset / download wave data,"=HYPERLINK(""https://github.com/UoA-eResearch/waves"")","=HYPERLINK(""https://uoa-eresearch.github.io/waves/"")"
storm_surge,2018-09-06T01:13:27Z,2022-03-28T02:42:45Z,Tools to store / view / subset / download storm surge data,"=HYPERLINK(""https://github.com/UoA-eResearch/storm_surge"")","=HYPERLINK(""https://uoa-eresearch.github.io/storm_surge/"")"
OPIMD,2021-02-23T22:47:18Z,2022-02-17T23:41:55Z,Interactive calculator for the Older Person's Index of Multiple Deprivation. For Dan Exeter,"=HYPERLINK(""https://github.com/UoA-eResearch/OPIMD"")","=HYPERLINK(""https://uoa-eresearch.github.io/OPIMD/"")"
