name,created_at,pushed_at,description,html_url,homepage
retrolens,2020-10-05T05:02:47Z,2022-02-17T22:46:30Z,"An alternative, Leaflet based web interface for retrolens (http://retrolens.nz/). For Mark Dickson","=HYPERLINK(""https://github.com/UoA-eResearch/retrolens"")","=HYPERLINK(""https://uoa-eresearch.github.io/retrolens/mosaics"")"
maori_roads,2022-02-13T22:59:46Z,2022-02-13T23:04:13Z,"Detect Māori words in NZ road names, using https://github.com/TeHikuMedia/nga-kupu/","=HYPERLINK(""https://github.com/UoA-eResearch/maori_roads"")","=HYPERLINK(""https://uoa-eresearch.github.io/maori_roads/process"")"
TSNE-UMAP-Embedding-Visualisation,2022-01-05T22:54:03Z,2022-01-25T23:52:58Z,A Simple and easy to use way to Visualise Embeddings!,"=HYPERLINK(""https://github.com/UoA-eResearch/TSNE-UMAP-Embedding-Visualisation"")","=HYPERLINK(""https://uoa-eresearch.github.io/TSNE-UMAP-Embedding-Visualisation/"")"
NZTA_traffic_cameras,2020-04-03T01:48:29Z,2022-01-19T02:29:17Z,A Python script to automatically collect images from all NZTA traffic cameras (https://www.journeys.nzta.govt.nz/traffic-and-travel-information/traffic-cameras/) and detect vehicles,"=HYPERLINK(""https://github.com/UoA-eResearch/NZTA_traffic_cameras"")","=HYPERLINK(""https://uoa-eresearch.github.io/NZTA_traffic_cameras/"")"
transit_deprivation,2020-04-30T02:56:09Z,2022-01-15T07:04:17Z,,"=HYPERLINK(""https://github.com/UoA-eResearch/transit_deprivation"")","=HYPERLINK(""http://transit.cloud.edu.au/"")"
vmhandbook,2018-01-04T01:41:13Z,2021-12-20T01:04:12Z,RVM handbooks for researchers,"=HYPERLINK(""https://github.com/UoA-eResearch/vmhandbook"")","=HYPERLINK(""https://uoa-eresearch.github.io/vmhandbook/"")"
keith_jarret,2021-07-21T02:55:35Z,2021-12-01T02:21:26Z,Generating Keith Jarret-esque piano music with Music Transformer,"=HYPERLINK(""https://github.com/UoA-eResearch/keith_jarret"")","=HYPERLINK(""https://uoa-eresearch.github.io/keith_jarret/"")"
linkedin,2021-11-25T22:49:35Z,2021-11-28T21:37:45Z,Collecting and analysing data from LinkedIn,"=HYPERLINK(""https://github.com/UoA-eResearch/linkedin"")","=HYPERLINK(""https://uoa-eresearch.github.io/linkedin/"")"
IMD,2021-10-11T00:09:23Z,2021-10-20T21:04:29Z,A GeoPandas Python Jupyter notebook to aggregate NZIMD data up to SA2,"=HYPERLINK(""https://github.com/UoA-eResearch/IMD"")","=HYPERLINK(""https://uoa-eresearch.github.io/IMD/IMD2018%20to%20SA2"")"
dsw-deployment-example,2021-10-05T00:13:39Z,2021-10-05T02:13:28Z,"CeR's DSW configuration, based on the deployment example","=HYPERLINK(""https://github.com/UoA-eResearch/dsw-deployment-example"")","=HYPERLINK(""https://dswfortest.dswizard-uoa.cloud.edu.au/"")"
cert-viewer,2017-10-31T02:59:41Z,2021-10-01T02:57:36Z,A web app for viewing and validating Blockchain Certificates,"=HYPERLINK(""https://github.com/UoA-eResearch/cert-viewer"")","=HYPERLINK(""http://blockcert.nectar.auckland.ac.nz/"")"
newztext,2021-09-24T00:42:03Z,2021-09-24T01:06:09Z,Analysing frequency of certain phrases in NZ news,"=HYPERLINK(""https://github.com/UoA-eResearch/newztext"")","=HYPERLINK(""https://uoa-eresearch.github.io/newztext/plot"")"
ichno,2021-09-15T00:54:45Z,2021-09-17T05:10:52Z,"Leaflet map to browse Ichnological database. For Francisco Saldana-Monroy, School of Environment","=HYPERLINK(""https://github.com/UoA-eResearch/ichno"")","=HYPERLINK(""https://uoa-eresearch.github.io/ichno/"")"
dietcost,2016-05-23T05:07:54Z,2021-09-14T22:33:05Z,Meal planner. For Stefanie / Sally McKay / Bruce Kidd,"=HYPERLINK(""https://github.com/UoA-eResearch/dietcost"")","=HYPERLINK(""http://dietcost.cer.auckland.ac.nz/"")"
IMD_Qualtrics_Module,2018-05-08T21:02:34Z,2021-08-23T21:55:19Z,The IMD Qualtrics Survey Module allows people conducting surveys to obtain a deprivation profile of the respondent’s neighbourhood by asking them to enter their home address. The module returns the data zone ID for that address and embeds its deprivation profile (overall IMD deprivation and 7 domains) expressed in quintiles.,"=HYPERLINK(""https://github.com/UoA-eResearch/IMD_Qualtrics_Module"")","=HYPERLINK(""https://imdmap.auckland.ac.nz"")"
Hauturu,2021-06-10T00:08:27Z,2021-08-04T21:51:30Z,"A Leaflet map of sampled sites near Hauturu/Little Barrier Island, with attached text and images. For Nick Shears","=HYPERLINK(""https://github.com/UoA-eResearch/Hauturu"")","=HYPERLINK(""https://uoa-eresearch.github.io/Hauturu/"")"
deckly,2020-12-15T23:03:34Z,2021-07-27T00:18:47Z,"A JavaScript library based on react, deck.gl, and plotly to build dashboards of integrated maps and plots","=HYPERLINK(""https://github.com/UoA-eResearch/deckly"")","=HYPERLINK(""https://uoa-eresearch.github.io/deckly/"")"
citations,2020-12-01T02:51:56Z,2021-06-16T03:13:16Z,Citation network analysis using Microsoft Academic and 3d-force-graph,"=HYPERLINK(""https://github.com/UoA-eResearch/citations"")","=HYPERLINK(""https://uoa-eresearch.github.io/citations/"")"
flt_api,2019-10-09T22:47:31Z,2021-06-14T03:37:22Z,A simple Python / bottle script to sample points from geospatial rasters via API. Powers http://elevation.auckland-cer.cloud.edu.au/,"=HYPERLINK(""https://github.com/UoA-eResearch/flt_api"")","=HYPERLINK(""http://elevation.auckland-cer.cloud.edu.au/?points=[[-36.84825909918613,%20174.76210516751664],[-39.296081,%20174.063910]]"")"
Queen_Charlotte_Sound,2021-03-23T03:16:11Z,2021-06-10T01:53:08Z,"A Leaflet map of sampled sites in the Queen Charlotte Sound, with attached text, images and video. For Jenny Hillman","=HYPERLINK(""https://github.com/UoA-eResearch/Queen_Charlotte_Sound"")","=HYPERLINK(""https://uoa-eresearch.github.io/Queen_Charlotte_Sound/"")"
billboards,2020-06-29T02:14:10Z,2021-05-31T04:27:12Z,"Python scraper using scrapy to collect the locations of billboards in New Zealand, to analyze their geospatial relationships with schools. Leaflet map to plot it. For Dan Exeter","=HYPERLINK(""https://github.com/UoA-eResearch/billboards"")","=HYPERLINK(""https://uoa-eresearch.github.io/billboards/"")"
solar_potential,2017-03-08T21:34:49Z,2021-05-27T02:17:35Z,Map of solar potential in Auckland,"=HYPERLINK(""https://github.com/UoA-eResearch/solar_potential"")","=HYPERLINK(""http://solarpower.cer.auckland.ac.nz/"")"
3d_campus_unity,2017-11-01T04:41:48Z,2021-04-21T03:25:40Z,A Unity application to view the 3D campus in stereoscopic 3D/Vive/hololens/gear VR/android/webgl,"=HYPERLINK(""https://github.com/UoA-eResearch/3d_campus_unity"")","=HYPERLINK(""https://uoa-eresearch.github.io/3d_campus_unity/"")"
research-hub-web,2016-09-20T01:52:58Z,2021-01-15T05:26:27Z,Research Hub Web,"=HYPERLINK(""https://github.com/UoA-eResearch/research-hub-web"")","=HYPERLINK(""https://research-hub.cer.auckland.ac.nz"")"
NZDep,2020-12-22T03:09:53Z,2020-12-23T00:43:05Z,Some EDA around the NZDep over time,"=HYPERLINK(""https://github.com/UoA-eResearch/NZDep"")","=HYPERLINK(""https://uoa-eresearch.github.io/NZDep/plot"")"
DigitalPacific,2020-12-17T23:28:37Z,2020-12-17T23:33:56Z,Leaflet map of digital repositories of Pacific knowledge. For Lisa Uperesa,"=HYPERLINK(""https://github.com/UoA-eResearch/DigitalPacific"")","=HYPERLINK(""https://uoa-eresearch.github.io/DigitalPacific/"")"
fisheR,2020-02-02T20:46:24Z,2020-12-14T21:49:20Z,An R port of https://github.com/csunlab/fisher-information. For Quinn Asena,"=HYPERLINK(""https://github.com/UoA-eResearch/fisheR"")","=HYPERLINK(""https://uoa-eresearch.github.io/fisheR/vignettes/sample-usage.html"")"
argo,2019-07-04T00:31:19Z,2020-12-02T02:33:08Z,Analysis of argo data near the south pole,"=HYPERLINK(""https://github.com/UoA-eResearch/argo"")","=HYPERLINK(""https://uoa-eresearch.github.io/argo/"")"
bird_recognition,2019-06-06T05:15:31Z,2020-11-23T21:35:07Z,Experiment testing the feasibility of individual bird recognition from audio recordings,"=HYPERLINK(""https://github.com/UoA-eResearch/bird_recognition"")","=HYPERLINK(""https://uoa-eresearch.github.io/bird_recognition/bird_recognition.nb.html"")"
cancermap,2020-05-18T23:54:30Z,2020-11-18T01:43:27Z,A Leaflet map of cancer in New Zealand,"=HYPERLINK(""https://github.com/UoA-eResearch/cancermap"")","=HYPERLINK(""https://uoa-eresearch.github.io/cancermap/"")"
building_consents,2020-11-17T02:06:16Z,2020-11-17T21:39:43Z,"A Leaflet map of NZ building consents, deprivation and ethnicity. With plotly.js plots.","=HYPERLINK(""https://github.com/UoA-eResearch/building_consents"")","=HYPERLINK(""https://uoa-eresearch.github.io/building_consents/"")"
covidtrends,2020-03-31T22:22:21Z,2020-11-12T21:32:00Z,Tracking the growth of COVID-19 Cases worldwide,"=HYPERLINK(""https://github.com/UoA-eResearch/covidtrends"")","=HYPERLINK(""https://uoa-eresearch.github.io/covidtrends/"")"
age_map,2020-04-15T04:25:26Z,2020-10-28T01:26:26Z,"Leaflet map of 2018 Census Population age data, with an overlay showing positions of hospitals","=HYPERLINK(""https://github.com/UoA-eResearch/age_map"")","=HYPERLINK(""https://uoa-eresearch.github.io/age_map/"")"
pivotonline_tweets,2020-04-29T22:03:47Z,2020-10-28T01:26:06Z,A map of tweets around the world related to online learning,"=HYPERLINK(""https://github.com/UoA-eResearch/pivotonline_tweets"")","=HYPERLINK(""https://uoa-eresearch.github.io/pivotonline_tweets/"")"
twint-ui,2020-06-03T22:50:17Z,2020-10-28T00:50:31Z,A web-based user interface to twint (https://github.com/twintproject/twint),"=HYPERLINK(""https://github.com/UoA-eResearch/twint-ui"")","=HYPERLINK(""https://uoa-eresearch.github.io/twint-ui/"")"
spatial-epi,2020-05-26T00:19:31Z,2020-10-02T02:57:32Z,"A collection of models in Netlogo along with other bits and pieces for thinking through how to do spatial epidemic spread modelling, in a time of COVID.","=HYPERLINK(""https://github.com/UoA-eResearch/spatial-epi"")","=HYPERLINK(""https://uoa-eresearch.github.io/spatial-epi/html/distributed-branching-process-RC-web.html"")"
kauri_rescue,2020-07-16T00:07:21Z,2020-08-17T23:24:25Z,"An interactive SVG using D3, describing a Citizen Science Project Development Lifecycle Model. For Marie McEntee","=HYPERLINK(""https://github.com/UoA-eResearch/kauri_rescue"")","=HYPERLINK(""https://uoa-eresearch.github.io/kauri_rescue/"")"
Sea_Level_Rise_Devonport,2018-03-25T19:51:38Z,2020-07-27T00:56:33Z,,"=HYPERLINK(""https://github.com/UoA-eResearch/Sea_Level_Rise_Devonport"")","=HYPERLINK(""https://uoa-eresearch.github.io/Sea_Level_Rise_Devonport/index.html"")"
covid19_NZ,2020-03-25T03:39:46Z,2020-04-20T01:47:51Z,Timeline map of COVID-19 cases in NZ,"=HYPERLINK(""https://github.com/UoA-eResearch/covid19_NZ"")","=HYPERLINK(""https://uoa-eresearch.github.io/covid19_NZ/"")"
religion,2018-04-23T03:03:45Z,2020-04-09T06:29:52Z,Heatmap of religious diversity in NZ,"=HYPERLINK(""https://github.com/UoA-eResearch/religion"")","=HYPERLINK(""https://uoa-eresearch.github.io/religion/"")"
eDNA,2017-11-24T04:31:09Z,2020-03-31T07:35:32Z,Heatmap system to geographically display eDNA (Environmental DNA) data from New Zealand,"=HYPERLINK(""https://github.com/UoA-eResearch/eDNA"")","=HYPERLINK(""https://uoa-eresearch.github.io/eDNA/"")"
AT_realtime,2019-12-08T21:04:32Z,2020-03-27T02:37:43Z,Leaflet map of the AT Realtime Vehicle Positions feed,"=HYPERLINK(""https://github.com/UoA-eResearch/AT_realtime"")","=HYPERLINK(""https://uoa-eresearch.github.io/AT_realtime/"")"
eAtlas,2020-03-24T01:59:41Z,2020-03-24T22:56:54Z,Alan Turing Institute eAtlas (part of SPF projects),"=HYPERLINK(""https://github.com/UoA-eResearch/eAtlas"")","=HYPERLINK(""https://uoa-eresearch.github.io/eAtlas/"")"
nzavs,2019-11-04T18:56:17Z,2020-02-09T19:15:20Z,Mapping NZAVS migration flows,"=HYPERLINK(""https://github.com/UoA-eResearch/nzavs"")","=HYPERLINK(""https://uoa-eresearch.github.io/nzavs/"")"
haka_tweets,2020-01-15T03:55:05Z,2020-01-29T22:48:58Z,Analysing the reactions on twitter to haka. For Lisa Uperesa,"=HYPERLINK(""https://github.com/UoA-eResearch/haka_tweets"")","=HYPERLINK(""https://uoa-eresearch.github.io/haka_tweets/"")"
slavery,2020-01-23T04:22:01Z,2020-01-24T02:48:59Z,Analysis of statements submitted to https://www.modernslaveryregistry.org/,"=HYPERLINK(""https://github.com/UoA-eResearch/slavery"")","=HYPERLINK(""https://uoa-eresearch.github.io/slavery/"")"
venice,2020-01-21T03:06:34Z,2020-01-21T03:12:59Z,Three.JS visualisation of sea level rise in Venice. Based on https://github.com/UoA-eResearch/Sea_Level_Rise_Devonport,"=HYPERLINK(""https://github.com/UoA-eResearch/venice"")","=HYPERLINK(""https://uoa-eresearch.github.io/venice/"")"
leapjs-playback,2019-12-02T00:17:03Z,2019-12-02T00:24:45Z,Record and play back Leap Motion frame data,"=HYPERLINK(""https://github.com/UoA-eResearch/leapjs-playback"")","=HYPERLINK(""https://uoa-eresearch.github.io/leapjs-playback/recorder/"")"
nzipr,2016-05-27T03:28:57Z,2019-10-30T20:21:33Z,visualising aid flows into the Pacific,"=HYPERLINK(""https://github.com/UoA-eResearch/nzipr"")","=HYPERLINK(""http://uoa-eresearch.github.io/nzipr/"")"
egyptian_twitter_analysis,2019-07-10T23:27:04Z,2019-08-15T23:08:27Z,Analysis of scraped twitter data,"=HYPERLINK(""https://github.com/UoA-eResearch/egyptian_twitter_analysis"")","=HYPERLINK(""https://uoa-eresearch.github.io/egyptian_twitter_analysis/"")"
2019-08-12-uoa-swc,2019-07-08T03:47:52Z,2019-07-21T22:01:13Z,,"=HYPERLINK(""https://github.com/UoA-eResearch/2019-08-12-uoa-swc"")","=HYPERLINK(""https://uoa-eresearch.github.io/2019-08-12-uoa-swc/"")"
deep-learning-tutorial-2017,2017-06-27T22:51:31Z,2019-06-11T02:27:38Z,Deep learning tutorial for Winter Bootcamp,"=HYPERLINK(""https://github.com/UoA-eResearch/deep-learning-tutorial-2017"")","=HYPERLINK(""https://uoa-eresearch.github.io/deep-learning-tutorial"")"
embedding-projector-standalone,2022-01-05T22:31:30Z,2019-05-28T17:38:55Z,,"=HYPERLINK(""https://github.com/UoA-eResearch/embedding-projector-standalone"")","=HYPERLINK(""https://uoa-eresearch.github.io/embedding-projector-standalone/"")"
ecosim,2019-02-19T02:40:38Z,2019-04-03T03:55:01Z,"An online, interactive, ecological simulator for the interactions between Macomona liliana and Microphytobenthos","=HYPERLINK(""https://github.com/UoA-eResearch/ecosim"")","=HYPERLINK(""https://uoa-eresearch.github.io/ecosim/"")"
species_discovery,2016-03-23T22:48:57Z,2019-02-14T02:49:02Z,"Python scripts to geocode and parse xls data into json, and html/js to plot it on a map","=HYPERLINK(""https://github.com/UoA-eResearch/species_discovery"")","=HYPERLINK(""http://uoa-eresearch.github.io/species_discovery/map/"")"
haptic,2018-09-03T22:21:40Z,2018-09-07T00:29:03Z,An experiment testing the potential for sightless haptic interactions in HTML5,"=HYPERLINK(""https://github.com/UoA-eResearch/haptic"")","=HYPERLINK(""https://uoa-eresearch.github.io/haptic/"")"
s-pombe,2017-09-11T00:08:48Z,2018-09-04T03:29:58Z,Unity project to visualise s pombe DNA,"=HYPERLINK(""https://github.com/UoA-eResearch/s-pombe"")","=HYPERLINK(""https://uoa-eresearch.github.io/s-pombe/"")"
blockgame,2018-08-28T05:29:39Z,2018-09-02T23:35:01Z,A simple HTML5 game involving stacking blocks,"=HYPERLINK(""https://github.com/UoA-eResearch/blockgame"")","=HYPERLINK(""https://uoa-eresearch.github.io/blockgame/"")"
sport,2018-07-24T23:55:53Z,2018-07-25T22:18:37Z,An OSM Overpass map of Sport Venues,"=HYPERLINK(""https://github.com/UoA-eResearch/sport"")","=HYPERLINK(""https://uoa-eresearch.github.io/sport/"")"
2018-07-12-UoA-SWC,2018-06-07T23:17:27Z,2018-07-19T23:25:57Z,,"=HYPERLINK(""https://github.com/UoA-eResearch/2018-07-12-UoA-SWC"")","=HYPERLINK(""https://uoa-eresearch.github.io/2018-07-12-UoA-SWC/"")"
mt_ngauruhoe_3js,2018-05-30T04:19:07Z,2018-07-09T04:01:20Z,,"=HYPERLINK(""https://github.com/UoA-eResearch/mt_ngauruhoe_3js"")","=HYPERLINK(""https://uoa-eresearch.github.io/mt_ngauruhoe_3js/"")"
stream3D,2018-06-27T22:06:23Z,2018-06-27T22:45:57Z,A simple HTML application to display two streams side by side,"=HYPERLINK(""https://github.com/UoA-eResearch/stream3D"")","=HYPERLINK(""https://uoa-eresearch.github.io/stream3D/"")"
3d_campus_b4w,2018-04-19T05:00:46Z,2018-04-20T03:53:40Z,"A 3D campus viewer, using blend4web (https://www.blend4web.com/en/)","=HYPERLINK(""https://github.com/UoA-eResearch/3d_campus_b4w"")","=HYPERLINK(""https://uoa-eresearch.github.io/3d_campus_b4w/"")"
cyclemap,2016-08-25T03:04:18Z,2017-10-19T01:16:32Z,"Python script to geocode cycleways to osm waypoints, and html/js to plot it on a map","=HYPERLINK(""https://github.com/UoA-eResearch/cyclemap"")","=HYPERLINK(""https://uoa-eresearch.github.io/cyclemap/"")"
speech,2017-09-28T05:13:16Z,2017-09-29T01:27:05Z,Listens for speech and charts the frequency of words,"=HYPERLINK(""https://github.com/UoA-eResearch/speech"")","=HYPERLINK(""https://uoa-eresearch.github.io/speech/"")"
whale_map,2016-04-11T04:07:48Z,2017-09-20T00:23:17Z,3D map showing humpback whale migration to Antarctica,"=HYPERLINK(""https://github.com/UoA-eResearch/whale_map"")","=HYPERLINK(""https://uoa-eresearch.github.io/whale_map/"")"
coronary_cfd_blender,2017-04-11T04:10:56Z,2017-08-24T03:51:26Z,A python script to load in ANSYS outputs into blender,"=HYPERLINK(""https://github.com/UoA-eResearch/coronary_cfd_blender"")","=HYPERLINK(""https://uoa-eresearch.github.io/coronary_cfd_blender/"")"
winterbootcamp2017,2017-04-05T01:18:56Z,2017-07-09T21:26:34Z,,"=HYPERLINK(""https://github.com/UoA-eResearch/winterbootcamp2017"")","=HYPERLINK(""https://uoa-eresearch.github.io/winterbootcamp2017/"")"
synesthesia,2017-06-26T04:14:24Z,2017-06-27T23:49:35Z,"A web application that can receive an image stream, and play a tone based on the dominant hue","=HYPERLINK(""https://github.com/UoA-eResearch/synesthesia"")","=HYPERLINK(""https://uoa-eresearch.github.io/synesthesia/"")"
tangibles,2015-07-17T05:01:48Z,2017-06-20T21:46:40Z,A framework for capacitive tangible interaction on the web and mobile devices.,"=HYPERLINK(""https://github.com/UoA-eResearch/tangibles"")","=HYPERLINK(""https://tangibles.cer.auckland.ac.nz"")"
photosphere_viewer_web,2017-05-17T23:24:01Z,2017-05-19T01:54:05Z,A javascript application to view a photosphere in a web browser,"=HYPERLINK(""https://github.com/UoA-eResearch/photosphere_viewer_web"")","=HYPERLINK(""https://uoa-eresearch.github.io/photosphere_viewer_web/"")"
humanities_wiki,2017-03-27T03:54:33Z,2017-03-31T02:34:32Z,A visualisation of a wiki evolving over time,"=HYPERLINK(""https://github.com/UoA-eResearch/humanities_wiki"")","=HYPERLINK(""https://uoa-eresearch.github.io/humanities_wiki/?course=his207"")"
automap,2017-03-13T05:18:34Z,2017-03-22T22:22:51Z,Python bottle server that supports upload/display of GPX/XLSX data,"=HYPERLINK(""https://github.com/UoA-eResearch/automap"")","=HYPERLINK(""https://web.ceres.auckland.ac.nz/automap/"")"
easy-d3,2017-01-19T00:50:11Z,2017-03-03T04:13:46Z,Makes D3 easy,"=HYPERLINK(""https://github.com/UoA-eResearch/easy-d3"")","=HYPERLINK(""https://uoa-eresearch.github.io/easy-d3/"")"
featureViewerR,2017-01-16T00:44:27Z,2017-01-22T23:31:37Z,R wrapper for https://github.com/UoA-eResearch/feature-viewer,"=HYPERLINK(""https://github.com/UoA-eResearch/featureViewerR"")","=HYPERLINK(""https://uoa-eresearch.github.io/featureViewerR/vignettes/simple_example.html"")"
researchit,2016-03-04T18:53:30Z,2016-11-07T01:22:45Z,Prototype drupal research it portal,"=HYPERLINK(""https://github.com/UoA-eResearch/researchit"")","=HYPERLINK(""https://researchit.cer.auckland.ac.nz/"")"
dataservices,2015-11-23T21:48:46Z,2016-02-28T22:04:59Z,,"=HYPERLINK(""https://github.com/UoA-eResearch/dataservices"")","=HYPERLINK(""https://uoa-eresearch.github.io/dataservices/"")"
